D50922_at	ENSG00000079999	KEAP1
D50923_at	ENSG00000135763	URB2
D50926_at	ENSG00000159256	MORC3
D50927_at	ENSG00000198586	TLK1
D50928_at	ENSG00000130254	SAFB2
D50930_at	ENSG00000189319	FAM53B
D50931_at	ENSG00000081791	KIAA0141
D55638_at	ENSG00000280014	AC006129.3
D55654_at	ENSG00000014641	MDH1
D55696_at	ENSG00000100600	LGMN
D55716_at	ENSG00000166508	MCM7
D55716_at	ENSG00000207547	MIR25
D55716_at	ENSG00000207757	MIR93
D59253_at	ENSG00000114503	NCBP2
D61380_at	ENSG00000116288	PARK7
D61391_at	ENSG00000161542	PRPSAP1
D63135_at	ENSG00000141540	TTYH2
D63160_at	ENSG00000160339	FCN2
D63390_at	ENSG00000168092	PAFAH1B2
D63391_at	ENSG00000079462	PAFAH1B3
D63412_at	ENSG00000171885	AQP4
D63475_at	ENSG00000161203	AP2M1
D63476_at	ENSG00000102606	ARHGEF7
D63477_at	ENSG00000132294	EFR3A
D63479_s_at	ENSG00000077044	DGKD
D63480_at	ENSG00000164808	SPIDR
D63482_at	ENSG00000139436	GIT2
D63483_at	ENSG00000074660	SCARF1
D63486_at	ENSG00000110917	MLEC
D63487_at	ENSG00000100304	TTLL12
D63506_at	ENSG00000116266	STXBP3
D63813_at	ENSG00000079101	CLUL1
D63861_s_at	ENSG00000171497	PPID
D63875_at	ENSG00000198730	CTR9
D63878_at	ENSG00000168385	SEPT2
D63879_at	ENSG00000075856	SART3
D63880_at	ENSG00000010292	NCAPD2
D63881_at	ENSG00000178691	SUZ12
D63882_s_at	ENSG00000100206	DMC1
D63940_s_at	ENSG00000119950	MXI1
D63998_at	ENSG00000112893	MAN2A1
D64053_at	ENSG00000153233	PTPRR
D64108_at	ENSG00000100206	DMC1
D64109_at	ENSG00000183864	TOB2
D64110_at	ENSG00000154640	BTG3
D64142_at	ENSG00000184897	H1FX
D64159_at	ENSG00000115355	CCDC88A
D67029_at	ENSG00000129657	SEC14L1
D76435_at	ENSG00000152977	ZIC1
D76444_at	ENSG00000239305	RNF103
D78011_at	ENSG00000147647	DPYS
D78012_at	ENSG00000072832	CRMP1
D78014_at	ENSG00000113657	DPYSL3
D78129_at	ENSG00000104549	SQLE
D78134_at	ENSG00000099622	CIRBP
D78156_at	ENSG00000155903	RASA2
D78261_at	ENSG00000137265	IRF4
D78275_at	ENSG00000100519	PSMC6
D78275_at	ENSG00000236814	RP11-446E9.1
D78333_at	ENSG00000132141	CCT6B
D78334_at	ENSG00000106013	ANKRD7
D78335_at	ENSG00000143179	UCK2
D78586_at	ENSG00000084774	CAD
D78611_at	ENSG00000106484	MEST
D79206_s_at	ENSG00000124145	SDC4
D79983_at	ENSG00000151692	RNF144A
D79984_s_at	ENSG00000109111	SUPT6H
D79987_at	ENSG00000135476	ESPL1
D79988_at	ENSG00000184445	KNTC1
D79989_at	ENSG00000135439	AGAP2
D79990_at	ENSG00000101265	RASSF2
D79993_at	ENSG00000113282	CLINT1
D79994_at	ENSG00000107104	KANK1
D79995_at	ENSG00000135912	TTLL4
D79996_at	ENSG00000182149	IST1
D79997_at	ENSG00000165304	MELK
D80000_at	ENSG00000072501	SMC1A
D80001_at	ENSG00000160208	RRP1B
D80003_at	ENSG00000198646	NCOA6
D80004_at	ENSG00000131149	GSE1
D80005_at	ENSG00000048828	FAM120A
D80006_at	ENSG00000114978	MOB1A
